time,test,plant,plot,line_raw_slope(N/m)
VT - 9AM,blue,1,Plot A,286.287176
VT - 9AM,red,1,Plot A,226.054199
VT - 9AM,black,1,Plot A,234.582139
VT - 9AM,blue,2,Plot A,247.111625
VT - 9AM,red,2,Plot A,204.075898
VT - 9AM,black,2,Plot A,227.078401
VT - 9AM,blue,3,Plot A,318.910045
VT - 9AM,red,3,Plot A,324.624042
VT - 9AM,black,3,Plot A,310.988549
VT - 9AM,blue,4,Plot A,112.450402
VT - 9AM,red,4,Plot A,94.3999655
VT - 9AM,black,4,Plot A,108.178182
VT - 9AM,blue,5,Plot A,214.548539
VT - 9AM,red,5,Plot A,235.528194
VT - 9AM,black,5,Plot A,226.97889
VT - 9AM,blue,6,Plot A,261.654211
VT - 9AM,red,6,Plot A,277.772115
VT - 9AM,black,6,Plot A,282.243165
VT - 9AM,blue,7,Plot A,217.495323
VT - 9AM,red,7,Plot A,244.304362
VT - 9AM,black,7,Plot A,266.987091
VT - 9AM,blue,8,Plot A,302.502066
VT - 9AM,red,8,Plot A,325.866952
VT - 9AM,black,8,Plot A,305.495578
VT - 9AM,blue,9,Plot A,269.099315
VT - 9AM,red,9,Plot A,275.807734
VT - 9AM,black,9,Plot A,258.20953
VT - 9AM,blue,10,Plot A,290.6537
VT - 9AM,red,10,Plot A,225.311585
VT - 9AM,black,10,Plot A,228.717239
VT - 9AM,blue,11,Plot A,125.197228
VT - 9AM,red,11,Plot A,129.293118
VT - 9AM,black,11,Plot A,117.731073
VT - 9AM,blue,12,Plot A,202.378739
VT - 9AM,red,12,Plot A,203.441484
VT - 9AM,black,12,Plot A,192.964793
VT - 12PM,blue,1,Plot A,223.169989
VT - 12PM,red,1,Plot A,222.5213
VT - 12PM,black,1,Plot A,216.657639
VT - 12PM,blue,2,Plot A,188.207789
VT - 12PM,red,2,Plot A,196.957489
VT - 12PM,black,2,Plot A,228.826509
VT - 12PM,blue,3,Plot A,287.799123
VT - 12PM,red,3,Plot A,299.569586
VT - 12PM,black,3,Plot A,343.173673
VT - 12PM,blue,4,Plot A,96.4636163
VT - 12PM,red,4,Plot A,84.3600004
VT - 12PM,black,4,Plot A,108.200557
VT - 12PM,blue,5,Plot A,202.804925
VT - 12PM,red,5,Plot A,208.077023
VT - 12PM,black,5,Plot A,225.856557
VT - 12PM,blue,6,Plot A,270.455108
VT - 12PM,red,6,Plot A,251.014312
VT - 12PM,black,6,Plot A,266.291851
VT - 12PM,blue,7,Plot A,227.812404
VT - 12PM,red,7,Plot A,240.598989
VT - 12PM,black,7,Plot A,271.904449
VT - 12PM,blue,8,Plot A,273.143235
VT - 12PM,red,8,Plot A,314.872761
VT - 12PM,black,8,Plot A,312.296566
VT - 12PM,blue,9,Plot A,264.164307
VT - 12PM,red,9,Plot A,240.464563
VT - 12PM,black,9,Plot A,259.41605
VT - 12PM,blue,10,Plot A,266.081666
VT - 12PM,red,10,Plot A,221.712548
VT - 12PM,black,10,Plot A,264.002246
VT - 12PM,blue,11,Plot A,151.177362
VT - 12PM,red,11,Plot A,129.650399
VT - 12PM,black,11,Plot A,147.450986
VT - 12PM,blue,12,Plot A,157.356929
VT - 12PM,red,12,Plot A,162.339252
VT - 12PM,black,12,Plot A,180.602387
VT - 4PM,blue,1,Plot A,195.371206
VT - 4PM,red,1,Plot A,197.300177
VT - 4PM,black,1,Plot A,199.178261
VT - 4PM,blue,2,Plot A,153.108078
VT - 4PM,red,2,Plot A,201.811044
VT - 4PM,black,2,Plot A,182.751085
VT - 4PM,blue,3,Plot A,267.37607
VT - 4PM,red,3,Plot A,264.476681
VT - 4PM,black,3,Plot A,257.67871
VT - 4PM,blue,4,Plot A,75.8711908
VT - 4PM,red,4,Plot A,112.797062
VT - 4PM,black,4,Plot A,92.5851189
VT - 4PM,blue,5,Plot A,171.7364
VT - 4PM,red,5,Plot A,194.328297
VT - 4PM,black,5,Plot A,209.228624
VT - 4PM,blue,6,Plot A,206.160425
VT - 4PM,red,6,Plot A,275.59897
VT - 4PM,black,6,Plot A,241.009597
VT - 4PM,blue,7,Plot A,199.757861
VT - 4PM,red,7,Plot A,197.204858
VT - 4PM,black,7,Plot A,254.405361
VT - 4PM,blue,8,Plot A,270.046608
VT - 4PM,red,8,Plot A,275.038944
VT - 4PM,black,8,Plot A,270.688326
VT - 4PM,blue,9,Plot A,233.015948
VT - 4PM,red,9,Plot A,222.191071
VT - 4PM,black,9,Plot A,211.344154
VT - 4PM,blue,10,Plot A,224.055427
VT - 4PM,red,10,Plot A,220.111502
VT - 4PM,black,10,Plot A,211.805968
VT - 4PM,blue,11,Plot A,107.192797
VT - 4PM,red,11,Plot A,107.96444
VT - 4PM,black,11,Plot A,114.721873
VT - 4PM,blue,12,Plot A,126.442269
VT - 4PM,red,12,Plot A,156.125681
VT - 4PM,black,12,Plot A,151.989444
VT - 9AM,blue,1,Plot B,274.683729
VT - 9AM,red,1,Plot B,282.666347
VT - 9AM,black,1,Plot B,294.887175
VT - 9AM,blue,2,Plot B,316.898334
VT - 9AM,red,2,Plot B,246.946751
VT - 9AM,black,2,Plot B,260.990094
VT - 9AM,blue,3,Plot B,325.233234
VT - 9AM,red,3,Plot B,231.326465
VT - 9AM,black,3,Plot B,313.887449
VT - 9AM,blue,4,Plot B,256.203829
VT - 9AM,red,4,Plot B,255.653164
VT - 9AM,black,4,Plot B,309.277957
VT - 9AM,blue,5,Plot B,298.891488
VT - 9AM,red,5,Plot B,224.066824
VT - 9AM,black,5,Plot B,224.625813
VT - 9AM,blue,6,Plot B,310.111495
VT - 9AM,red,6,Plot B,270.787885
VT - 9AM,black,6,Plot B,253.042342
VT - 9AM,blue,7,Plot B,235.555548
VT - 9AM,red,7,Plot B,286.260633
VT - 9AM,black,7,Plot B,250.80835
VT - 9AM,blue,8,Plot B,213.139811
VT - 9AM,red,8,Plot B,272.909511
VT - 9AM,black,8,Plot B,250.252943
VT - 9AM,blue,9,Plot B,217.935425
VT - 9AM,red,9,Plot B,214.626395
VT - 9AM,black,9,Plot B,185.832449
VT - 9AM,blue,10,Plot B,264.424436
VT - 9AM,red,10,Plot B,177.712811
VT - 9AM,black,10,Plot B,214.106266
VT - 9AM,blue,11,Plot B,101.360219
VT - 9AM,red,11,Plot B,80.5893307
VT - 9AM,black,11,Plot B,84.9558035
VT - 12PM,blue,1,Plot B,285.986926
VT - 12PM,red,1,Plot B,322.427565
VT - 12PM,black,1,Plot B,278.597009
VT - 12PM,blue,2,Plot B,218.733292
VT - 12PM,red,2,Plot B,240.044741
VT - 12PM,black,2,Plot B,235.113719
VT - 12PM,blue,3,Plot B,282.901445
VT - 12PM,red,3,Plot B,292.886573
VT - 12PM,black,3,Plot B,316.701449
VT - 12PM,blue,4,Plot B,274.477421
VT - 12PM,red,4,Plot B,275.498275
VT - 12PM,black,4,Plot B,268.681952
VT - 12PM,blue,5,Plot B,219.159037
VT - 12PM,red,5,Plot B,204.475757
VT - 12PM,black,5,Plot B,221.947901
VT - 12PM,blue,6,Plot B,236.887564
VT - 12PM,red,6,Plot B,274.100026
VT - 12PM,black,6,Plot B,235.663617
VT - 12PM,blue,7,Plot B,280.426616
VT - 12PM,red,7,Plot B,265.764974
VT - 12PM,black,7,Plot B,230.363633
VT - 12PM,blue,8,Plot B,251.700741
VT - 12PM,red,8,Plot B,257.982544
VT - 12PM,black,8,Plot B,216.130182
VT - 12PM,blue,9,Plot B,206.05658
VT - 12PM,red,9,Plot B,180.343566
VT - 12PM,black,9,Plot B,163.266186
VT - 12PM,blue,10,Plot B,230.977424
VT - 12PM,red,10,Plot B,239.97029
VT - 12PM,black,10,Plot B,196.853614
VT - 12PM,blue,11,Plot B,103.277926
VT - 12PM,red,11,Plot B,95.5811402
VT - 12PM,black,11,Plot B,96.6294487
VT - 4PM,blue,1,Plot B,258.264335
VT - 4PM,red,1,Plot B,214.23377
VT - 4PM,black,1,Plot B,292.900944
VT - 4PM,blue,2,Plot B,170.174321
VT - 4PM,red,2,Plot B,189.018327
VT - 4PM,black,2,Plot B,190.356626
VT - 4PM,blue,3,Plot B,243.470728
VT - 4PM,red,3,Plot B,247.01679
VT - 4PM,black,3,Plot B,213.31333
VT - 4PM,blue,4,Plot B,184.914749
VT - 4PM,red,4,Plot B,206.035434
VT - 4PM,black,4,Plot B,220.913551
VT - 4PM,blue,5,Plot B,178.249445
VT - 4PM,red,5,Plot B,180.169886
VT - 4PM,black,5,Plot B,166.80657
VT - 4PM,blue,6,Plot B,215.522381
VT - 4PM,red,6,Plot B,231.855201
VT - 4PM,black,6,Plot B,161.062991
VT - 4PM,blue,7,Plot B,195.457132
VT - 4PM,red,7,Plot B,233.624758
VT - 4PM,black,7,Plot B,175.60407
VT - 4PM,blue,8,Plot B,195.070049
VT - 4PM,red,8,Plot B,183.792106
VT - 4PM,black,8,Plot B,154.700319
VT - 4PM,blue,9,Plot B,163.774513
VT - 4PM,red,9,Plot B,148.078694
VT - 4PM,black,9,Plot B,125.298787
VT - 4PM,blue,10,Plot B,194.291524
VT - 4PM,red,10,Plot B,165.220541
VT - 4PM,black,10,Plot B,178.49057
VT - 4PM,blue,11,Plot B,67.443716
VT - 4PM,red,11,Plot B,81.8946733
VT - 4PM,black,11,Plot B,61.2089935
R5 - 12PM,blue,1,Plot A,312.930714
R5 - 12PM,blue,2,Plot A,305.992914
R5 - 12PM,blue,3,Plot A,351.486563
R5 - 12PM,blue,4,Plot A,145.247689
R5 - 12PM,blue,5,Plot A,257.50523
R5 - 12PM,blue,6,Plot A,360.543898
R5 - 12PM,blue,7,Plot A,389.240149
R5 - 12PM,blue,8,Plot A,365.300921
R5 - 12PM,blue,9,Plot A,327.751406
R5 - 12PM,blue,10,Plot A,349.766081
R5 - 12PM,blue,1,Plot B,403.063048
R5 - 12PM,blue,2,Plot B,367.80239
R5 - 12PM,blue,3,Plot B,401.394175
R5 - 12PM,blue,4,Plot B,348.20028
R5 - 12PM,blue,5,Plot B,327.440949
R5 - 12PM,blue,6,Plot B,375.575876
R5 - 12PM,blue,7,Plot B,330.975624
R5 - 12PM,blue,8,Plot B,337.985441
R5 - 12PM,blue,9,Plot B,267.504203
R5 - 12PM,blue,10,Plot B,300.9321
R5 - 12PM,blue,11,Plot B,149.075024