Accession,SelectionYear,Plot,Plant,LoadCellHeight,Operator,Label,RawSlope,Brnumber,Ratio
Tuson:C0-165(3),0,2648,1,0.6,ES,./data/2648/2018_10_31_20_11_15.csv,198.100633,1,0.918974519
Tuson:C0-165(3),0,2648,2,0.6,ES,./data/2648/2018_10_31_20_11_35.csv,186.795581,2,0.634942852
Tuson:C0-165(3),0,2648,3,0.6,ES,./data/2648/2018_10_31_20_11_54.csv,194.468274,2,0.332835433
Tuson:C0-164(5),0,2659,1,0.6,ES,./data/2659/2018_11_3_15_26_8.csv,86.055954,2,0.686827438
Tuson:C0-164(5),0,2659,2,0.6,ES,./data/2659/2018_11_3_15_26_35.csv,170.74384,3,0.282363349
Tuson:C0-164(5),0,2659,3,0.6,ES,./data/2659/2018_11_3_15_28_18.csv,124.70817,2,0.153187507
Tuson:C0-165(1),0,2663,1,0.6,ES,./data/2663/2018_11_3_16_3_46.csv,231.999922,1,0.708046717
Tuson:C0-165(1),0,2663,2,0.6,ES,./data/2663/2018_11_3_16_4_24.csv,172.108224,1,0.767780574
Tuson:C0-165(1),0,2663,3,0.6,ES,./data/2663/2018_11_3_16_4_50.csv,98.9315022,1,0.427857523
Tuson:C0-169(1),0,2682,1,0.6,ES,./data/2682/2018_11_3_18_56_52(21).csv,173.007471,1,0.703062789
Tuson:C0-169(1),0,2682,2,0.6,ES,./data/2682/2018_11_3_18_56_52(22).csv,217.92447,1,0.682999633
Tuson:C0-169(1),0,2682,3,0.6,ES,./data/2682/2018_11_3_18_56_52(23).csv,73.1291714,1,0.460087627
Tuson:C0-165(2),0,2689,1,0.6,ES,./data/2689/2018_11_4_15_50_59.csv,254.583455,2,0.413392716
Tuson:C0-165(2),0,2689,2,0.6,ES,./data/2689/2018_11_4_15_51_21.csv,140.532391,1,1.005231919
Tuson:C0-165(2),0,2689,3,0.6,ES,./data/2689/2018_11_4_15_52_11.csv,208.247719,2,0.615424998
Tuson:C0-165(1),0,2702,1,0.6,ES,./data/2702/2018_11_4_16_55_46.csv,200.612334,2,0.911843745
Tuson:C0-165(1),0,2702,2,0.6,ES,./data/2702/2018_11_4_16_56_13.csv,218.52213,2,0.612827616
Tuson:C0-165(1),0,2702,3,0.6,ES,./data/2702/2018_11_4_16_56_13(2).csv,255.069534,2,0.230985288
Tuson:C2-832(2),2,2650,1,0.6,ES,./data/2650/2018_10_31_20_21_39.csv,187.703545,2,0.254269046
Tuson:C2-172(2),2,2678,1,0.6,ES,./data/2678/2018_11_3_18_38_56(8).csv,77.1244622,2,0.62011684
Tuson:C2-172(2),2,2678,2,0.6,ES,./data/2678/2018_11_3_18_38_56(9).csv,243.08692,2,0.31427488
Tuson:C2-172(2),2,2678,3,0.6,ES,./data/2678/2018_11_3_18_38_56(10).csv,94.982675,2,0.248448319
Tuson:C2-832(6),2,2691,1,0.6,ES,./data/2691/2018_11_4_15_58_26.csv,176.819354,2,0.580067366
Tuson:C2-832(6),2,2691,2,0.6,ES,./data/2691/2018_11_4_15_58_46.csv,138.414619,1,0.665209343
Tuson:C2-832(6),2,2691,3,0.6,ES,./data/2691/2018_11_4_15_59_48.csv,93.6391114,1,0.669419382
Tuson:C2-830(2),2,2693,1,0.6,ES,./data/2693/2018_11_4_16_10_20.csv,58.820869,1,0.584198715
Tuson:C2-830(2),2,2693,2,0.6,ES,./data/2693/2018_11_4_16_11_39.csv,101.144844,1,0.880229558
Tuson:C2-830(2),2,2693,3,0.6,ES,./data/2693/2018_11_4_16_11_56.csv,95.3851355,1,0.977293406
Tuson:C2-172(3),2,2699,1,0.6,ES,./data/2699/2018_11_4_16_43_38.csv,103.379969,1,1.008868981
Tuson:C2-172(3),2,2699,2,0.6,ES,./data/2699/2018_11_4_16_44_5.csv,108.074941,1,0.733158466
Tuson:C2-172(3),2,2699,3,0.6,ES,./data/2699/2018_11_4_16_44_28.csv,63.6286814,1,0.753993015
Tuson:C2-172(2),2,2709,2,0.6,ES,./data/2709/2018_11_4_17_18_15(26).csv,182.780047,2,0.436066338
Tuson:C2-172(2),2,2709,3,0.6,ES,./data/2709/2018_11_4_17_18_15(27).csv,187.890974,2,0.367732508
Tuson:C4-839(2),4,2643,1,0.6,ES,./data/2643/2018_10_31_19_45_4.csv,48.1071209,1,0.083158017
Tuson:C4-839(2),4,2643,2,0.6,ES,./data/2643/2018_10_31_19_45_24.csv,152.867179,2,0.321434317
Tuson:C4-178(6),4,2646,1,0.6,ES,./data/2646/2018_10_31_20_1_6.csv,107.502075,1,1.040868774
Tuson:C4-178(6),4,2646,2,0.6,ES,./data/2646/2018_10_31_20_1_32.csv,97.8440374,2,0.344195092
Tuson:C4-178(6),4,2646,3,0.6,ES,./data/2646/2018_10_31_20_1_52.csv,113.90091,2,0.429116414
Tuson:C4-176(4),4,2666,1,0.6,ES,./data/2666/2018_11_3_17_22_26.csv,76.4119559,2,0.377777612
Tuson:C4-176(4),4,2666,2,0.6,ES,./data/2666/2018_11_3_17_23_44.csv,55.9130344,1,0.745990706
Tuson:C4-176(4),4,2666,3,0.6,ES,./data/2666/2018_11_3_17_24_9.csv,57.4805115,2,0.211653291
Tuson:C4-176(5),4,2683,1,0.6,ES,./data/2683/2018_11_3_18_56_52(27).csv,90.6549586,2,0.38236467
Tuson:C4-176(5),4,2683,2,0.6,ES,./data/2683/2018_11_3_18_56_52(28).csv,79.1042075,2,0.169330741
Tuson:C4-176(5),4,2683,3,0.6,ES,./data/2683/2018_11_3_18_56_52(29).csv,235.498429,2,0.284785318
Tuson:C4-177(6),4,2684,1,0.6,ES,./data/2684/2018_11_4_15_15_16.csv,213.477121,2,0.325415969
Tuson:C4-177(6),4,2684,2,0.6,ES,./data/2684/2018_11_4_15_16_8.csv,148.457734,2,0.686821011
Tuson:C4-177(6),4,2684,3,0.6,ES,./data/2684/2018_11_4_15_16_34.csv,129.364035,1,0.741405337
Tuson:C6-858(4),6,2651,1,0.6,ES,./data/2651/2018_10_31_20_26_18.csv,167.028487,2,0.448403076
Tuson:C6-858(4),6,2651,2,0.6,ES,./data/2651/2018_10_31_20_26_44.csv,156.670676,2,0.712568254
Tuson:C6-849(4),6,2654,1,0.6,ES,./data/2654/2018_11_3_14_47_48.csv,81.1302317,1,1.019306213
Tuson:C6-849(4),6,2654,2,0.6,ES,./data/2654/2018_11_3_14_48_12.csv,81.5892562,2,0.323392067
Tuson:C6-849(4),6,2654,3,0.6,ES,./data/2654/2018_11_3_14_48_59.csv,11.6940096,2,1.183502946
Tuson:C6-852(3),6,2660,1,0.6,ES,./data/2660/2018_11_3_15_37_30.csv,90.786517,2,0.424214086
Tuson:C6-852(3),6,2660,2,0.6,ES,./data/2660/2018_11_3_15_38_4.csv,212.987551,1,0.398642762
Tuson:C6-857(8),6,2671,1,0.6,ES,./data/2671/2018_11_3_18_3_1.csv,104.840765,1,0.561618698
Tuson:C6-857(8),6,2671,2,0.6,ES,./data/2671/2018_11_3_18_4_4.csv,125.218671,1,0.663427929
Tuson:C6-856(5),6,2688,1,0.6,ES,./data/2688/2018_11_4_15_46_46.csv,235.991303,1,0.422428187
Tuson:C6-856(5),6,2688,2,0.6,ES,./data/2688/2018_11_4_15_47_3.csv,98.5637567,1,0.536617378
Tuson:C6-856(5),6,2688,3,0.6,ES,./data/2688/2018_11_4_15_47_42.csv,115.864629,1,0.626493389
Tuson:C6-857(8),6,2710,1,0.6,ES,./data/2710/2018_11_4_17_18_15(33).csv,167.017629,1,0.601451425
Tuson:C6-857(8),6,2710,2,0.6,ES,./data/2710/2018_11_4_17_18_15(34).csv,144.645803,2,0.502946784
Tuson:C6-857(8),6,2710,3,0.6,ES,./data/2710/2018_11_4_17_18_15(35).csv,126.315135,1,0.729486248
Tuson:C8-861(1),8,2681,1,0.6,ES,./data/2681/2018_11_3_18_56_52(14).csv,85.4598967,1,0.543693799
Tuson:C8-861(1),8,2681,2,0.6,ES,./data/2681/2018_11_3_18_56_52(15).csv,46.9199093,1,0.627366405
Tuson:C8-861(1),8,2681,3,0.6,ES,./data/2681/2018_11_3_18_56_52(16).csv,64.310778,2,0.938230135
Tuson:C8-860(1),8,2685,1,0.6,ES,./data/2685/2018_11_4_15_22_34.csv,24.5224328,1,0.816317678
Tuson:C8-860(1),8,2685,2,0.6,ES,./data/2685/2018_11_4_15_23_5.csv,30.8120588,1,0.767424038
Tuson:C8-860(1),8,2685,3,0.6,ES,./data/2685/2018_11_4_15_23_39.csv,27.3085233,1,1.129649398
Tuson:C8-864(3),8,2692,1,0.6,ES,./data/2692/2018_11_4_16_4_28.csv,37.647271,1,0.792899079
Tuson:C8-864(3),8,2692,2,0.6,ES,./data/2692/2018_11_4_16_5_35.csv,96.7276211,2,0.488593072
Tuson:C8-864(3),8,2692,3,0.6,ES,./data/2692/2018_11_4_16_6_0.csv,56.9765603,2,0.269717998
Tuson:C10-872(2),10,2637,1,0.6,ES,./data/2637/2080_1_5_23_59_57.csv,144.356263,2,0.54421531
Tuson:C10-872(2),10,2637,2,0.6,ES,./data/2637/2080_1_5_23_59_48.csv,128.722114,2,0.705344118
Tuson:C10-872(2),10,2637,3,0.6,ES,./data/2637/2080_1_5_23_59_48(4).csv,144.184022,2,0.54150179
Tuson:C10-869(6),10,2669,1,0.6,ES,./data/2669/2018_11_3_17_46_35.csv,89.4846272,1,0.453228488
Tuson:C10-869(6),10,2669,2,0.6,ES,./data/2669/2018_11_3_17_47_30.csv,136.195504,1,0.434019089
Tuson:C10-869(6),10,2669,3,0.6,ES,./data/2669/2018_11_3_17_47_58.csv,118.794303,1,0.458089946
Tuson:C10-873(1),10,2708,1,0.6,ES,./data/2708/2018_11_4_17_18_15(17).csv,142.587893,1,0.790359445
Tuson:C10-873(1),10,2708,2,0.6,ES,./data/2708/2018_11_4_17_18_15(18).csv,96.7175289,2,0.146263955
Tuson:C10-873(1),10,2708,3,0.6,ES,./data/2708/2018_11_4_17_18_15(19).csv,196.571208,3,0.128826126